C	0000023040	A	0108A07145244	VILLA ELISA                        	000	S11329	000000000000000	000000000488924	0000000000000	0000000000000	0000000002444	000000000491368	13122021	00000	C.A.E.A.  	31487908312936	15122021	30713911603     	50	000003	
C	0000023040	A	0108A07145243	VILLA ELISA                        	000	S11329	000000000000000	000000007818269	0000000000000	0000000000000	0000000039092	000000007857361	13122021	00000	C.A.E.A.  	31487908312936	15122021	30713911603     	50	000012	
C	0000023040	A	0108A07145242	VILLA ELISA                        	000	S11329	000000000172097	000000000000000	0000000036140	0000000000000	0000000005163	000000000213400	13122021	00000	C.A.E.A.  	31487908312936	15122021	30713911603     	50	000004	
C	0000023040	A	0108A07145241	VILLA ELISA                        	000	S11329	000000000084022	000000001014404	0000000017645	0000000000000	0000000007593	000000001123664	13122021	00000	C.A.E.A.  	31487908312936	15122021	30713911603     	50	000005	
C	0000023040	A	0108A07145240	VILLA ELISA                        	000	S11329	000000000404488	000000006114970	0000000084943	0000000012135	0000000042712	000000006659248	13122021	00000	C.A.E.A.  	31487908312936	15122021	30713911603     	50	000031	
C	0000023040	C	0108A01512518	VILLA ELISA                        	000	S-CON2	000000000000000	000000000016466	0000000000000	0000000000000	0000000000000	000000000016466	13122021	00000	C.A.E.A.  	31487908312936	15122021	30713911603     	49	000001	
C	0000023040	A	0121A02438683	VILLA ELISA                        	000	S61329	000000000061189	000000000000000	0000000012851	0000000000000	0000000001835	000000000075875	11122021	00000	C.A.E.A.  	31487908312936	15122021	30713911603     	50	000003	
C	0000023040	A	0121A02438682	VILLA ELISA                        	000	S61329	000000001653209	000000002811161	0000000347172	0000000049597	0000000063652	000000004924791	11122021	00000	C.A.E.A.  	31487908312936	15122021	30713911603     	50	000042	
C	0000023040	A	0121A02438681	VILLA ELISA                        	000	S61329	000000000175522	000000000358522	0000000036860	0000000000000	0000000007058	000000000577962	11122021	00000	C.A.E.A.  	31487908312936	15122021	30713911603     	50	000007	
C	0000023040	A	0108A07141422	VILLA ELISA                        	000	S52300	000000000000000	000000000156472	0000000000000	0000000000000	0000000000782	000000000157254	10122021	00000	C.A.E.A.  	31487908312936	15122021	30713911603     	50	000001	
C	0000023040	A	0108A07141421	VILLA ELISA                        	000	S52300	000000000041289	000000000216132	0000000008671	0000000000000	0000000002320	000000000268412	10122021	00000	C.A.E.A.  	31487908312936	15122021	30713911603     	50	000003	
C	0000023040	A	0108A07141420	VILLA ELISA                        	000	S52300	000000000242676	000000005237937	0000000050962	0000000007280	0000000033470	000000005572325	10122021	00000	C.A.E.A.  	31487908312936	15122021	30713911603     	50	000029	
C	0000023040	A	0108A07139873	VILLA ELISA                        	000	S51329	000000000190207	000000000375345	0000000039944	0000000000000	0000000007584	000000000613080	10122021	00000	C.A.E.A.  	31487908312936	15122021	30713911603     	50	000007	
C	0000023040	A	0108A07139872	VILLA ELISA                        	000	S51329	000000001137347	000000006947626	0000000238843	0000000034120	0000000068859	000000008426795	10122021	00000	C.A.E.A.  	31487908312936	15122021	30713911603     	50	000055	
C	0000023040	C	0108A01511677	VILLA ELISA                        	000	S-CON2	000000000000000	000000000088205	0000000000000	0000000000000	0000000000000	000000000088205	10122021	00000	C.A.E.A.  	31487908312936	15122021	30713911603     	49	000001	
C	0000023040	C	0108A01511676	VILLA ELISA                        	000	S-CON2	000000000000000	000000000032515	0000000000000	0000000000000	0000000000000	000000000032515	10122021	00000	C.A.E.A.  	31487908312936	15122021	30713911603     	49	000001	
C	0000023040	C	0108A01511343	VILLA ELISA                        	000	S-CON2	000000000000000	000000000138613	0000000000000	0000000000000	0000000000000	000000000138613	10122021	00000	C.A.E.A.  	31487908312936	15122021	30713911603     	49	000001	
