Fecha;Comprobante;Número Comprobante;Monto Exento;Monto Gravado;Monto Iva Inscripto;Monto Iva No Inscripto;Monto Percepciones DGR;Monto Percepciones Municipal;Monto Total
15/09/2020 12:03:00 p.m.;FAC;A001401284023;1.312,80;0,00;0,00;0,00;6,56;0,00;1.319,36
15/09/2020 07:11:00 p.m.;FAC;A001401284270;8.890,36;0,00;0,00;0,00;44,45;0,00;8.934,81
15/09/2020 07:30:00 p.m.;FAC;A001309346601;0,00;2.566,48;538,96;0,00;12,83;0,00;3.118,27
16/09/2020 11:20:00 a.m.;FAC;A001401284580;13.950,80;713,45;149,82;0,00;73,32;0,00;14.887,39
16/09/2020 11:43:00 a.m.;FAC;A001401284633;1.765,85;0,00;0,00;0,00;8,83;0,00;1.774,68
16/09/2020 12:01:00 p.m.;FAC;A001401284694;2.354,95;0,00;0,00;0,00;11,77;0,00;2.366,72
16/09/2020 05:53:00 p.m.;FAC;A001401284833;1.302,97;0,00;0,00;0,00;6,51;0,00;1.309,48
16/09/2020 07:04:00 p.m.;FAC;A001401284905;17.016,38;0,00;0,00;0,00;85,08;0,00;17.101,46
16/09/2020 07:23:00 p.m.;FAC;A001309351483;0,00;249,72;52,44;0,00;1,25;0,00;303,41
16/09/2020 07:31:00 p.m.;FAC;A001401284962;5.197,92;0,00;0,00;0,00;25,99;0,00;5.223,91
16/09/2020 07:57:00 p.m.;FAC;A001401285046;4.956,66;0,00;0,00;0,00;24,78;0,00;4.981,44
17/09/2020 11:20:00 a.m.;FAC;A001401285242;8.834,40;0,00;0,00;0,00;44,17;0,00;8.878,57
17/09/2020 12:00:00 p.m.;FAC;A001401285381;1.077,39;0,00;0,00;0,00;5,39;0,00;1.082,78
17/09/2020 06:57:00 p.m.;FAC;A001401285633;2.744,15;0,00;0,00;0,00;13,72;0,00;2.757,87
17/09/2020 06:58:00 p.m.;FAC;A001401285640;953,43;0,00;0,00;0,00;4,77;0,00;958,20
17/09/2020 07:32:00 p.m.;FAC;A001309356254;843,76;859,58;180,51;0,00;8,52;0,00;1.892,37
