FAC;A0004-07632701;15/09/20;0.00;639.86;134.37;19.20;793.43
FAC;A0004-07632702;15/09/20;1698.58;0.00;0.00;8.49;1707.07
FAC;A0004-07633030;15/09/20;0.00;990.80;208.07;29.72;1228.59
FAC;A0004-07633166;15/09/20;2189.70;0.00;0.00;10.95;2200.65
FAC;A0004-07634439;15/09/20;8983.16;0.00;0.00;44.92;9028.08
FAC;A0004-07634441;15/09/20;533.04;0.00;0.00;2.67;535.71
FAC;A0004-07636885;16/09/20;9587.33;0.00;0.00;47.94;9635.27
FAC;A0004-07636889;16/09/20;0.00;363.26;76.29;10.90;450.45
FAC;A0004-07637245;16/09/20;6395.22;0.00;0.00;31.98;6427.20
FAC;A0004-07638718;16/09/20;8080.44;0.00;0.00;40.40;8120.84
FAC;A0004-07638719;16/09/20;2052.59;0.00;0.00;10.26;2062.85
FAC;A0004-07640815;17/09/20;5964.33;0.00;0.00;29.82;5994.15
FAC;A0004-07640816;17/09/20;0.00;708.16;148.71;21.24;878.11
FAC;A0004-07641119;17/09/20;486.12;0.00;0.00;2.43;488.55
FAC;A0004-07643071;17/09/20;0.00;95.02;19.96;2.85;117.83
FAC;A0004-07643072;17/09/20;3688.45;0.00;0.00;18.44;3706.89
FAC;A0004-07643073;17/09/20;0.00;633.34;133.00;19.00;785.34
FAC;A0004-07643385;17/09/20;0.00;2027.97;425.87;60.84;2514.68
FAC;A0004-07645123;18/09/20;6702.37;0.00;0.00;33.51;6735.88
FAC;A0004-07645248;18/09/20;0.00;288.89;60.67;8.67;358.23
FAC;A0004-07646566;18/09/20;25654.32;0.00;0.00;128.27;25782.59
FAC;A0004-07646685;18/09/20;0.00;3642.05;764.83;109.26;4516.14
FAC;A0004-07646951;18/09/20;1250.46;0.00;0.00;6.25;1256.71
FAC;A0004-07646953;18/09/20;0.00;221.40;46.50;6.64;274.54
FAC;A0004-07649852;22/09/20;0.00;234.02;49.14;7.02;290.18
FAC;A0004-07649853;22/09/20;8043.64;0.00;0.00;40.22;8083.86
FAC;A0004-07649854;22/09/20;0.00;5088.24;1068.53;152.65;6309.42
FAC;A0004-07649855;22/09/20;733.43;0.00;0.00;3.67;737.10
FAC;A0004-07653179;22/09/20;0.00;1042.42;218.91;31.27;1292.60
FAC;A0004-07653234;22/09/20;3162.95;0.00;0.00;15.81;3178.76
FAC;A0004-07653235;22/09/20;1547.83;0.00;0.00;7.74;1555.57
FAC;A0004-07654706;23/09/20;0.00;1510.50;317.21;45.32;1873.03
FAC;A0004-07655273;23/09/20;1197.92;0.00;0.00;5.99;1203.91
FAC;A0004-07655275;23/09/20;1180.72;0.00;0.00;5.90;1186.62
FAC;A0004-07655343;23/09/20;12347.89;0.00;0.00;61.74;12409.63
FAC;A0004-07655347;23/09/20;603.71;0.00;0.00;3.02;606.73
FAC;A0004-07655351;23/09/20;3241.14;0.00;0.00;16.21;3257.35
FAC;A0004-07655702;23/09/20;2508.41;0.00;0.00;12.54;2520.95
FAC;A0004-07656266;23/09/20;0.00;521.30;109.47;15.64;646.41
FAC;A0004-07656837;23/09/20;9870.10;0.00;0.00;49.35;9919.45
FAC;A0004-07656838;23/09/20;733.43;0.00;0.00;3.67;737.10
FAC;A0004-07657161;23/09/20;1481.69;0.00;0.00;7.41;1489.10
FAC;A0004-07657162;23/09/20;752.74;0.00;0.00;3.76;756.50
DEV;A0004-00345108;24/09/20;0.00;-368.94;-77.48;0.00;-446.42
FAC;A0004-07658510;24/09/20;11937.22;0.00;0.00;59.69;11996.91
FAC;A0004-07658517;24/09/20;6280.30;0.00;0.00;31.40;6311.70
FAC;A0004-07660401;24/09/20;5284.38;0.00;0.00;26.42;5310.80
FAC;A0004-07660402;24/09/20;3077.25;0.00;0.00;15.39;3092.64
FAC;A0004-07662940;25/09/20;4410.80;0.00;0.00;22.05;4432.85
FAC;A0004-07662941;25/09/20;2987.24;0.00;0.00;14.94;3002.18
FAC;A0004-07663841;25/09/20;10259.51;0.00;0.00;51.30;10310.81
FAC;A0004-07664926;25/09/20;0.00;4112.06;863.53;123.36;5098.95
FAC;A0004-07666111;26/09/20;0.00;1653.79;347.30;49.61;2050.70
FAC;A0004-07666408;26/09/20;0.00;1962.76;412.18;58.88;2433.82
FAC;A0004-07668048;28/09/20;14805.02;434.34;91.21;87.06;15417.63
FAC;A0004-07668049;28/09/20;3486.23;0.00;0.00;17.43;3503.66
FAC;A0004-07669734;28/09/20;8497.55;0.00;0.00;42.49;8540.04
FAC;A0004-07669739;28/09/20;6304.17;0.00;0.00;31.52;6335.69
FAC;A0004-07671067;29/09/20;0.00;341.47;71.71;10.24;423.42
FAC;A0004-07678985;01/10/20;9160.39;0.00;0.00;45.80;9206.19
FAC;A0004-07678995;01/10/20;1293.03;0.00;0.00;6.47;1299.50
FAC;A0004-07679042;01/10/20;1389.14;0.00;0.00;6.95;1396.09
FAC;A0004-07679052;01/10/20;1122.65;0.00;0.00;5.61;1128.26
FAC;A0004-07679089;01/10/20;2291.47;0.00;0.00;11.46;2302.93
FAC;A0004-07683156;02/10/20;4991.67;0.00;0.00;24.96;5016.63
FAC;A0004-07683158;02/10/20;0.00;442.96;93.02;13.29;549.27
FAC;A0004-07684492;02/10/20;16012.35;2091.74;439.27;142.81;18686.17
FAC;A0004-07684498;02/10/20;479.05;0.00;0.00;2.40;481.45
FAC;A0004-07684967;02/10/20;0.00;664.02;139.45;19.92;823.39
FAC;A0004-07684968;02/10/20;0.00;6704.15;1407.87;201.12;8313.14
FAC;A0004-07685356;02/10/20;3501.29;0.00;0.00;17.51;3518.80
FAC;A0004-07685357;02/10/20;1026.23;0.00;0.00;5.13;1031.36
FAC;A0004-07686342;03/10/20;0.00;1040.77;218.56;31.22;1290.55
FAC;A0004-07689185;05/10/20;7847.74;0.00;0.00;39.24;7886.98
FAC;A0004-07689188;05/10/20;3266.81;0.00;0.00;16.33;3283.14
FAC;A0004-07689921;05/10/20;0.00;926.64;194.60;27.80;1149.04
FAC;A0004-07690040;05/10/20;1822.15;0.00;0.00;9.11;1831.26
FAC;A0004-07690785;05/10/20;7752.67;0.00;0.00;38.76;7791.43
FAC;A0004-07690787;05/10/20;2008.07;0.00;0.00;10.04;2018.11
FAC;A0004-07690898;05/10/20;0.00;565.14;118.68;16.95;700.77
FAC;A0004-07691879;05/10/20;4335.90;0.00;0.00;21.68;4357.58
FAC;A0004-07691880;05/10/20;840.71;0.00;0.00;4.20;844.91
FAC;A0004-07691990;05/10/20;1163.21;0.00;0.00;5.82;1169.03
FAC;A0004-07694235;06/10/20;807.04;0.00;0.00;4.04;811.08
FAC;A0004-07694236;06/10/20;7023.53;0.00;0.00;35.12;7058.65
FAC;A0004-07695629;06/10/20;0.00;481.06;101.02;14.43;596.51
FAC;A0004-07695638;06/10/20;2025.90;0.00;0.00;10.13;2036.03
FAC;A0004-07674974;30/09/20;0.00;1269.10;266.51;38.07;1573.68
FAC;A0004-07674975;30/09/20;0.00;3247.60;682.00;97.43;4027.03
FAC;A0004-07675149;30/09/20;2163.26;0.00;0.00;10.82;2174.08
FAC;A0004-07675150;30/09/20;0.00;541.47;113.71;16.24;671.42
FAC;A0004-07675151;30/09/20;789.98;0.00;0.00;3.95;793.93
FAC;A0004-07675818;30/09/20;0.00;679.88;142.77;20.40;843.05
FAC;A0004-07676610;30/09/20;9686.96;0.00;0.00;48.43;9735.39
FAC;A0004-07676611;30/09/20;0.00;296.31;62.23;8.89;367.43
FAC;A0004-07676812;30/09/20;1171.27;0.00;0.00;5.86;1177.13
FAC;A0004-07676813;30/09/20;0.00;437.59;91.89;13.13;542.61
FAC;A0004-07676870;30/09/20;0.00;289.88;60.88;8.70;359.46
FAC;A0004-07677117;30/09/20;2004.75;0.00;0.00;10.02;2014.77
FAC;A0004-09204223;02/03/2022;23674.15;0.00;0.00;118.37;23792.52
FAC;A0004-09204225;02/03/2022;9248.74;0.00;0.00;46.24;9294.98
FAC;A0004-09208135;02/03/2022;0.00;3493.20;733.57;104.80;4331.57
FAC;A0004-09210058;03/03/2022;21864.36;0.00;0.00;109.32;21973.68
FAC;A0004-09210065;03/03/2022;10324.91;0.00;0.00;51.62;10376.53
FAC;A0004-09211511;03/03/2022;30648.89;4861.60;1020.93;299.09;36830.51
FAC;A0004-09211514;03/03/2022;12479.74;0.00;0.00;62.40;12542.14
FAC;A0004-09211840;03/03/2022;7849.87;0.00;0.00;39.25;7889.12
FAC;A0004-09213004;03/03/2022;0.00;7368.00;1547.28;221.04;9136.32
FAC;A0004-09216154;04/03/2022;13458.57;0.00;0.00;67.29;13525.86
FAC;A0004-09216159;04/03/2022;6937.88;0.00;0.00;34.69;6972.57
FAC;A0004-09216450;04/03/2022;21835.42;0.00;0.00;109.18;21944.60
FAC;A0004-09216458;04/03/2022;1997.20;0.00;0.00;9.99;2007.19
FAC;A0004-09216653;04/03/2022;0.00;1562.55;328.14;46.88;1937.57
FAC;A0004-09216676;04/03/2022;4661.74;0.00;0.00;23.31;4685.05
FAC;A0004-09216681;04/03/2022;1546.03;0.00;0.00;7.73;1553.76
FAC;A0004-09216760;04/03/2022;4066.55;0.00;0.00;20.33;4086.88
DEV;A0004-00412111;07/03/2022;0.00;-65.69;-13.80;0.00;-79.49
FAC;A0004-09223787;07/03/2022;0.00;2188.35;459.55;65.65;2713.55
FAC;A0004-09224223;08/03/2022;0.00;1062.08;223.04;31.86;1316.98
FAC;A0004-09225849;08/03/2022;24169.84;0.00;0.00;120.85;24290.69
FAC;A0004-09225856;08/03/2022;5225.45;0.00;0.00;26.13;5251.58
